0: linda davis                   reba mcentire
9367: faith                         the need for salvation
9368: march 2, 2018                 may 11, 2017
9370: 2014                          march 2016
9371: gottfried wilhelm leibniz     wundt
9372: pardner                       james barton
9373: elena kagan                   neil gorsuch
9375: no wind                       typically clear skies
9376: 7th                           no. 1
9377: whitesnake                    voyle gilmore
9379: storg\xc4\x93                 eros
9380: \xc3\xa9ros                   eros
9381: ag\xc3\xa1pe                  eros
9382: phil\xc3\xada                 eros
9383: over 17                       three years
9384: puebla                        mexico city
9386: kansas city chiefs            miami dolphins
9388: new england patriots          miami dolphins
9390: kanye west                    taylor swift
9391: glyph                         apostrophe
9392: giorgio tozzi                 ezio pinza
9393: 24,733                        24,802
9394: largest                       serbia
9395: posterior arch                axis
9396: new england                   houston oilers
9397: kansas city                   houston oilers
9399: cambodia                      sri lanka
9401: thailand                      sri lanka
9402: emperor k\xc5\x8dmei          emperor komei
9404: ferris wheel                  a ferris wheel
9405: 10                            over 800
9409: fred o'bannion                ron livingston
9411: 1796                          1803
9412: de la hoya                    scott walker
9413: joe burke                     al dubin
9417: 29 states                     29
9418: frank harper                  dog
9419: daniel bryer                  liam payne
9420: jamie scott                   liam payne
9422: louis tomlinson               liam payne
9423: mike needle                   liam payne
9425: glenne headly                 karen gillan
9426: the imperial german army      wehrmacht
9427: brave new world               season one finale
9428: coffeescript                  assembly language
9429: haskell                       assembly language
9430: nicholas simon lyndhurst      nicolas simon lyndhurst
9432: casey kelly                   sonny throckmorton
9434: gene steratore                mark pellis
9436: epsilon, \xce\xad\xcf\x88\xce\xb9\xce\xbb\xce\xbf\xce\xbdepsilon
9437: \xce\x95 \xce\xb5             epsilon
9438: the return of the king        the two towers
9440: maureen denise mccormick      mccormick
9442: 1,089 sq ft                   435.56 sq feet
9443: 11                            24
9444: biscuit - sized cakes         cake
9445: 2001                          17th century bc
9446: denver, colorado              denver
9447: investment or capital accumulationvariable
9448: act utilitarianism and rule utilitarianismpersons
9449: 1 november 1955               30 april 1975
9452: lupe                          maquina
9454: the first - season finale     `` putting it together ''
9455: the 1950s                     circa 1960
9457: donald trump                  george h.w. bush
9459: june 1925 </td> <td> 10       10 may 1926
9460: 344                           pachomius
9461: carrie ann inaba              bruno tonioli
9462: len goodman                   bruno tonioli
9463: julianne hough                bruno tonioli
9467: `` swollen foot ''            swollen foot
9468: bob marley and the wailers    bob marley
9473: atlanta, georgia              huntington, west virginia
9474: 15                            in the new future
9475: chattanooga                   cedar rapids
9477: fort myers                    cedar rapids
9478: rochester                     cedar rapids
9479: between the lungs             middle mediastinum
9481: heathland surrounding locks farmengland
9482: esai morales                  rosanna desoto
9485: 7                             5
9486: sebastian kurz                the chancellor
9487: the viscount canning          charles john canning
9488: mississippi                   american samoa
9489: proc. royal soc . b           proceedings b
9491: united spirits limited - diageomiddlesex cricket board
9492: meriwether lewis and william clarkeurasia
9493: 448                           3
9495: genelia d'souza               genelia d'ouza
9496: robert kelker - kelly         peter paul reckell
9497: peter reckell                 peter paul reckell
9498: ehrmann                       max ehrmann
9500: kristen stewart               chris hemsworth
9501: yankee doodle                 walter m. cook
9502: \xe2\x82\xb9 100 crore        ₹1 lakh per customer
9503: april 29, 1868                september 17, 1851
9504: 2008                          may 8, 2008
9505: teppanyaki grills             attendants
9508: two                           1
9509: the beatles                   the grey album
9510: october 5, 2018               august 30, 2018
9513: peter andrew beardsley mbe    peter beardsley
9515: judge                         magistrate
9516: supreme court official        magistrate
9519: serena williams               simona halep
9520: mississippi                   louisiana
9522: 42 minutes                    18
9523: darin brooks                  luke tittensor
9525: ck nayudu                     lala amarnath
9526: $3,995                        $2,000 to $4,000
9528: sweet pea                     tiberius
9532: april 14, 2018                april 7, 2018
9535: ethan                         ryan
9536: 20 -- 40 miles                30 -- 65 km
9538: 25                            13
9539: kerry                         galway
9540: seawater                      foodstuffs
9541: nova bordelon                 rutina wesley
9542: croatia                       italy
9543: cassandra cooper ingalls      charles ingalls
9544: independent parliamentary standards authoritythe parliament
9545: jean arthur                   edward arnold
9546: mathew fraser                 kari pearce
9547: andrija mohorovi\xc4\x8di\xc4\x87andrija mohorovicic
9550: marquis de lafayette          thomas jefferson
9551: abb\xc3\xa9 siey\xc3\xa8s     thomas jefferson
9552: 728                           594
9553: dayton, ohio                  camp haven
9554: india                         sanskrit
9555: one point                     one
9557: resistance                    a membrane
9558: 432                           989
9559: address bar                   http : / / wikipedia.org
9561: 6                             13
9563: general nathanael greene      british ship
9564: 1088                          859
9567: aaron finch ( 84 )            kevin pietersen
9569: the temporal lobe             bilaterally
9571: banks                         elizabeth irene banks
9572: 29 november 1963              october 1963
9573: colonel william travis        sam houston
9575: 23 february 2018              23 february
9577: collie                        ben
9579: jack kirby                    stan lee
9581: troop                         monophyletic groups
9586: 1990                          1968
9587: bad moms                      pitch perfect 3
9589: the amish                     mennonites
9590: shane watson                  chris gayle
9591: abigail pande and sanam johar rithvik dhanjani
9592: 58                            45
9593: ledger                        heath ledger
9594: brian francis connolly        brian connolly
9596: sarah drew                    sarah white drew
9597: kunj                          sonia
9600: 12                            six
9601: mass spectrometry             protein sequencing
9605: daryl hall                    hall & oates
9606: john oates                    hall & oates
9607: sara allen                    hall & oates
9608: `` the cooler king ''         pow character
9609: either october or november 201718 january 2019
9610: is violated                   metafiction
9611: performance convention        metafiction
9613: the andaman and nicobar islandsthe western ghats
9615: dove cameron                  kali rocha
9617: 1935 -- 44                    1935
9621: by the 2nd century ad         the second century
9623: the babylonians               jacques cassini
9624: `` the drunk slut ''          march 2018
9625: 8.6 %                         49 %
9626: benjamin king                 joey bragg
9627: 20.95 % oxygen                20.95 %
9628: millie bobby brown            jane hopper
9629: andrew scheer                 stephen harper
9632: rowley                        greg
9634: the brothers johnson          george johnson
9636: john stafford smith           francis scott key
9638: south korea                   soviet union
9639: the czechs                    czech people
9640: the czech people              czech people
9642: mid-1990s                     mid-1990s to early 2000s
9643: strong or steadfast           to provide
9644: january 26, 2003              1971
9645: \xe2\x82\xac 15,500,000       €50,000
9646: marlee matlin                 kathryn kennish
9649: rags and other plant fibers   plant fibers
9650: two feet                      hayley kiyoko
9651: betty who                     hayley kiyoko
9653: 4.8675 \xc3\x97 10 kg         81.5 %
9655: sally                         ken page
9659: john talfryn thomas           talfryn thomas
9661: 81.2                          40
9662: durning                       sawyer storm sweeten
9663: annandale, dumfriesshire, scotlandscotland
9664: april 10, 2009                march 24, 2010
9665: alexandra kyle                lisa gormley
9666: general surgery               surgical intern
9668: loud noises                   white laboratory rat
9670: `` disturbing behavior ''     `` home ''
9671: april 2011                    october 10, 2014
9672: white pine bay, oregon        arizona
9673: the stone age                 the paleolithic
9675: jim carrey                    thurl ravenscroft
9677: liz callaway                  ann hampton callaway
9678: cleveland cavaliers           new orleans pelicans
9680: secretary of state            thomas jefferson
9682: prohibition of alcoholic beveragesenvironmentalism
9683: women's suffrage was promoted environmentalism
9684: building an efficiency movementenvironmentalism
9688: westbury american little leaguebaltimore orioles
9691: devendra jhajharia            mariyappan thangavelu
9693: preferred hotels & resorts    trump soho
9694: henri dutrochet               theodor schwann
9696: the mavericks                 cheap trick
9698: eric d. steinberg             eric steinberg
9699: lonavala                      lonavla
9701: late 2018 or early 2019       2019
9702: 1963                          10 july 1967
9703: barbara rosenblat             rosenblat
9704: american reality television seriesmake over individuals
9706: ant\xc3\xb3nio egas moniz     antonio egas moniz
9708: 1986                          2018
9710: ploughman                     will sleeps again
9712: 1969                          1979
9713: san marino                    united states
9714: airborne ( parachute ) organizationsvietnamese airborne units
9716: kenneth wayne jennings iii    brad rutter
9717: brooklyn rae silzer           kimberly mccullough
9718: 107 bc                        august 4 -- 7, 2011
9719: enforcing racially separated educational facilitieseducation
9720: mr. k.v. chowdary             k.v. chowdary
9722: justin cooper                 sara paxton
9725: 1925                          may 18, 1973
9727: spanish                       old traditional families
9728: basque                        old traditional families
9729: paul young                    paul weller
9730: numerous unmanned landings    13
9731: six manned u.s. landings      13
9733: 2 samuel                      1 samuel
9734: billy crystal                 joshua leonard
9735: robin williams                joshua leonard
9739: the greek sculptor phidias    phidias
9740: 1994                          may 2014
9741: bombay                        albert hall
9742: amber brauner                 beau macmillan
9743: 66                            26
9744: november 1973                 1981
9745: ray allen                     stephen curry
9747: baltimore ravens              chicago bears
9748: from 1861 to 1865             1861 to 1865
9749: mcferrin                      bill irwin
9751: robin williams                bill irwin
9752: loader                        disk editor
9753: winstar world casino and resortfoxwoods resort casino
9754: gravity                       gravity alone
9755: alexius obabu makozi          john cross anyogu
9756: godfrey okoye, c.s. sp.       john cross anyogu
9757: camillus archibong etokudoh   john cross anyogu
9759: april 2015                    may 1994
9760: mary kay bergman              joan cusack
9763: heinkel                       heinkel he 178
9764: the ranger talion             talion
9767: 1964                          january 1795
9768: spain national team .         portugal
9769: ray allen                     stephen curry
9770: the cleavage process          cytokinesis
9771: gerry bertier                 julius campbell
9773: 25                            22
9775: october 1941                  summer 1942
9776: aaron musicant                cole sprouse
9778: liam neeson                   peter dinklage
9780: yongle emperor                li si
9781: alexandra daddario            ksenia solo
9782: strong community ethic        `` lean on me ''
9784: the cytoplasm                 water
9786: 15 june 1215                  the albigensian crusade
9787: the protection of church rightsthe albigensian crusade
9788: the shepherd boy              wrong note
9789: aeolian harp                  wrong note
9791: gal gadot                     wonder woman 1984
9793: on the thylakoid membranes    the thylakoid membranes
9794: austin, texas                 texas
9795: pflugerville, texas           texas
9796: 6                             13
9797: ars\xc3\xa8ne wenger          arsene wenger
9801: 2010                          august 10, 2010
9803: rufus wainwright              will.i.am
9804: tim allen                     judge reinhold
9805: transference                  telepathy
9807: stevie budd                   daniel levy
9808: 14 -- 15                      freshmen
9809: indigenous peoples            celtic
9812: angus young                   malcolm young
9813: bon scott                     malcolm young
9815: katie crown                   kelsey grammer
9816: 1985                          1984
9817: syracuse university           university of arizona
9818: the third sunday in july      on the third sunday
9819: the ruf                       alhaji
9820: will sampson                  mcmurphy
9821: richard shannon hoon          shannon hoon
9824: around 1860                   1914
9825: pennsylvania                  north america
9826: new york                      north america
9827: west virginia                 north america
9830: west point, new york          united states military academy
9831: anabolic steroids             anabolic steroid
9832: anthony spilotro              frank rosenthal
9833: geri mcgee                    frank rosenthal
9835: 377                           362 to 372
9836: big - box stores              discount department
9837: julia stiles                  kam heskin
9838: flight attendant max horvath  max horvath
9840: nikki bentley                 chester gregory ii
9841: aymee garcia                  chester gregory ii
9842: kristine yde eriksen          chester gregory ii
9843: haven burton                  chester gregory ii
9844: alice fearn                   chester gregory ii
9846: 2011                          2013
9847: pisa                          behind the pisa cathedral
9849: bales                         truss
9850: william sayle                 captain butler
9852: west virginia mountaineers    usc
9853: just south of yabucoa         yabucoa municipality
9854: rich porter                   azie faison
9855: alpo martinez                 azie faison
9856: azie `` az '' faison          azie faison
9857: cameron smith                 queensland
9861: windows xp                    windows 7
9862: the government of india       sir c v raman
9864: the miz                       chyna
9865: november 7, 2017              may 19, 2017
9866: nadiya hussain                ian cumming
9867: dubuque, iowa                 dubuque star brewery
9868: minneapolis, minnesota        dubuque star brewery
9872: bruce campbell                dana delorenzo
9875: january 18, 2018              october 26, 2017
9876: m. suryanarayan               buchi babu naidu
9879: wesley                        james scott
9880: welsh poet dylan thomas       dylan thomas
9881: paul mccoy                    amy lee
9883: laura san giacomo             alan rickman
9885: tom selleck                   alan rickman
9886: isaac newton                  thomas young
9887: december 23, 2008             may, 2007
9888: roger miller                  russell crowe
9891: pyeongchang, south korea      pyeongchang county
9892: truth and prophecy            light
9893: healing                       light
9894: poetry                        light
9895: music                         light
9896: the sun and light             light
9897: plague                        light
9899: `` let's groove ''            fast track challenge
9900: a doctor of medicine          doctor of medicine degree
9901: before 2 january 1915         april 22, 1915
9903: memory                        count basie
9905: elizabeth winfield sanford    elizabeth winfield
9906: corey glover                  jim carrey
9909: sm\xc3\xa9agol                samwise gamgee
9910: tybee island, georgia         tampa, florida
9911: savannah, georgia             tampa, florida
9913: circa 1550                    mid-1820s
9914: tandem duplication            single point mutations
9915: retrotransposition            single point mutations
9916: chromosomal translocation     single point mutations
9917: italian fascism in the 1920s  italian fascism
9919: membrane                      membrane potential
9921: 1905                          1900
9922: too young                     `` too young ''
9923: alvin                         simon
9924: theodore                      simon
9927: marble                        bronze
9928: timothy b. schmit             glenn frey
9929: protrudes from the cell body  cytoplasm
9931: 2003                          2002
9932: after it airs                 4 june 2018
9933: c. 1000 ad                    2017
9935: in 1974                       1974
9936: maycomb, alabama              new york city
9937: 1933 -- 35                    new york city
9938: 29 april 1770                 29 april 2017
9939: parliament - funkadelic       snoop dogg
9941: brazil                        italy
9942: germany                       italy
9943: argentina                     italy
9944: france                        italy
9945: west germany                  italy
9947: spain                         italy
9948: 5 ft 10 in                    6 ft 8 ( 203 cm )
9950: joyce randolph                alice
9952: almost every state            colorado
9955: michael j. fox                tony scott
9956: scribblenauts                 minigame
9957: october 4, 2015               october 1, 2017
9958: 2008                          2017
9960: cerebral cortex               cerebellum
9963: 2000 - 2001                   2002
9965: stan shaw                     tom harmon
9966: monster                       thought criminal
9967: 8                             eighth
9968: venezuela                     1492
9969: gwen verdon                   denise van outen
9970: auli\xca\xbbi cravalho        auli'i cravalho
9972: the dominican republic        atlanta
9973: jefferson davis               jefferson finis davis
9974: ronald reagan                 donald trump
9976: rod stewart                   p.p. arnold
9977: papa dee                      p.p. arnold
9978: keith hampshire               p.p. arnold
9979: sheryl crow                   p.p. arnold
9980: dawn penn                     p.p. arnold
9981: radial symmetry               vertebrae
9982: the tibia                     oboe
9983: the third side                legs
9984: 1960s                         1912
9985: by the 20 member clubs        sir dave richards
9986: myolnir                       mjolnir
9988: croatia                       serbs in croatia
9989: republic of bosnia and herzegovinaserbs in croatia
9990: republic of serbian krajina   serbs in croatia
9991: sfr yugoslavia                serbs in croatia
9992: republika srpska              serbs in croatia
9993: george h.w. bush              george w. bush
9994: the borrower / trustor        borrower / trustor
9996: the las vegas sands corporationlas vegas sands corporation
9999: nicole ari parker             jo de winter
10002: motorcycle club               kutte
10004: december 1984                 1857
10005: the mexican revolution of 1910texas and mexico
10006: april 15, 2018                october 22, 2017
10007: april 8, 2018                 may 8, 2018
10008: the house of representatives  house of representatives
10009: february 2, 1999              1981
10010: christian isaiah              james forde
10011: cities                        twin cities
10012: president franklin d. rooseveltfranklin d. roosevelt
10013: carrie underwood              lori mckenna
10015: liz rose                      lori mckenna
10016: hillary lindsey               lori mckenna
10017: africa                        rainforests
10018: 1981                          2013
10019: january 16, 2013              december 6, 2018
10020: humpty alexander dumpty       kitty softpaws
10021: the virginia plan             the great compromise
10023: minnesota wild                columbus blue jackets
10024: hudson river                  great lakes region
10025: great lakes                   great lakes region
10027: 1974                          1998
10029: john eric winchester          john winchester
10030: palmeiras                     manchester city
10031: pope julius ii                sixtus iv
10032: super high output             show
10035: may 19, 2008                  july 12, 1990
10036: 5                             seventeen
10037: kamal haasan                  ananth vaidyanathan
10038: the virtue of holiness        the seven deadly sins
10039: lena headey                   brad rutter
10040: peter dinklage                brad rutter
10041: emilia clarke                 brad rutter
10042: nikolaj coster - waldau       brad rutter
10043: kit harington                 brad rutter
10044: carbon - carbon               sigma bond
10045: over 18 quintillion           18 quintillion
10049: from 1955 to 1958             1955
10050: may 22, 1915                  1917
10052: sella turcica                 hypophysis
10053: bandi rajan babu              rajan babu
10054: john william dimaggio         john dimaggio
10056: 6 -- 14 july                  7 july
10057: andmesh kamaleng              hemant brijwasi
10058: huddersfield narrow           the sapperton canal tunnel
10059: atlanta, georgia, usa         atlanta
10060: william howard taft           john james marshall
10062: 8 march 1965                  july 1965
10063: 1769                          1871
10064: canadian singer leonard cohen leonard cohen
10066: jan and dean                  the beach boys
10068: 2008                          2011
10070: 1686                          1800
10071: march 4, 2018                 april 1, 2018
10073: 2017                          january 19, 2018
10075: cyndi lauper                  ellen shaw
10076: mcdonald's corporation        hamburger university
10077: rituraj mohanty               darshan raval
10078: december 7, 1979              1979
10080: november 6, 2017              april 6, 2015
10083: thea                          thea queen
10084: 24 ppqn                       24
10087: june 23, 2017                 april 11, 2018
10088: canada                        washington
10090: prince                        j geils band
10091: the j geils band              j geils band
10092: george thorogood              j geils band
10093: yellow river in china         3000 bce
10094: fertile crescent              3000 bce
10095: jeri lynn ryan                jeri ryan
10096: tiger stadium                 ford field
10097: geoff blum                    dave borkowski
10099: anthropomorphic monkey        monkey
10101: thomas mitchell               thomas john mitchell
10104: 37                            mike bacsik
10107: texas                         nevada
10108: utah                          nevada
10109: nebraska                      nevada
10110: wyoming                       nevada
10111: rectifier                     a rotary converter
10112: february 24, 2017             september 8, 2017
10113: justin timberlake             pharrell williams
10114: pusha t                       pharrell williams
10115: the neptunes                  pharrell williams
10118: 23                            16
10119: 20                            16
10122: abraham lincoln               hannibal hamlin
10124: january 9, 2018               august 28, 2018
10125: english baroque               baroque
10126: 1980s                         1890s
10127: anglo - saxon                 anradhan
10128: old norse                     anradhan
10129: ancient greece                ancient greek
10131: cleveland, ohio               big bear lake
10132: los angeles                   big bear lake
10133: march 2004                    2004
10134: chyler leigh                  kelly mccreary
10135: melanie fontana               fuel
10136: huey ' piano ' smith          huey'piano'smith
10137: march 18, 2018                october 8, 2017
10138: 1943                          9 may 1945
10139: tyntesfield, near bristol     tyntesfield
10140: witch                         alice
10142: b.w. stevenson                mary martin
10143: lower belly                   diaphragm
10144: permanent ada                 stephanie march
10145: tunnels beach, kauai          jogging in spring creek park
10146: 32 gb                         up to eight
10147: alabama                       clemson tigers
10148: northern free - soilers       black and white abolitionists
10149: southern slave - holding interestsblack and white abolitionists
10151: 100                           0.405 hectare
10152: july 4, 1946                  july 4
10153: 18 years or older             18
10154: the charlie daniels band      vassar clements
10157: age of enlightenment          lumieres
10158: early 55                      ad 57 -- 58
10159: late 56 / early 57            ad 57 -- 58
10160: early 58                      ad 57 -- 58
10161: netherlands                   the netherlands
10162: robert gulaczyk               tim roth
10163: query                         search box
10164: 16 episodes                   16
10165: dolly parton                  carrie underwood
10167: cern                          sunsite. unc. edu
10171: late 1990s                    1968
10172: clay tablet                   clay tablets
10173: styluses with sharp triangular tipsclay tablets
10176: august 31 2018                august 31, 2018
10180: stephen curry                 michael jordan
10181: culinary contexts             it becomes tougher
10185: artery                        small intestine
10186: university of nebraska        december 2017
10187: oahe dam                      big bend dam
10189: gavins point dam              big bend dam
10190: fort randall dam              big bend dam
10192: endoplasmic reticulum         the intestine
10193: 389                           1.7
10195: maharishi dayanand saraswati  mohandas gandhi
10196: june and july 2017            june
10198: 2004                          no way out 2004
10199: desert like                   subtropical
10201: tropical                      subtropical
10202: thomas babington macaulay     otto lilienthal
10203: october 28, 1886              1885
10205: kevin kline                   benjamin bratt
10206: troy edward baker             nolan north
10207: john lennon and paul mccartneyjohn lennon
10208: 5                             6
10209: 34                            12
10211: sebastian stan                johnny depp
10213: a robot                       westinghouse electric corporation
10214: lollywood                     cinema of pakistan
10215: brown                         grey
10216: white                         grey
10217: sea - blue                    grey
10219: ashley crow                   katherine marie helmond
10220: 90 % and higher               14 %
10223: novel                         first person
10224: 2,190 acres                   2.8 million acres
10227: 1980                          1959
10228: thursday, march 29            march 29
10229: fifth season                  `` the practice ''
10230: craig morgan                  mary chapin carpenter
10234: decantation                   filtration
10235: precipitation                 ice caps
10236: beak of rooster               serrano pepper
10238: e.g. daily                    bodicea
10240: endochondral ossification     the diaphysis
10244: target market                 segments
10245: isle of man                   island of wight
10246: orrin hatch                   christine kangaloo
10248: ardal o'hanlon                kris marshall
10250: ben miller                    kris marshall
10253: \xc4\xb0stanbul               istanbul
10254: tympani bone                  temporal bone
10256: tali                          troian avery bellisario
10257: 12                            15
10258: the sound of music            gone with the wind
10259: probable cause                due process clause
10260: u.s. congress                 moreton rolleston
10261: 1521 to 1898                  1565
10262: laura fraser                  shannyn sossamon
10263: david timothy scarboro        todd carty
10264: anaheim stadium in anaheim    los angeles memorial coliseum
10265: kidcutup                      deerhoof
10266: in london, england            norman
10270: epistle to ramsay             scots in origin
10271: paul `` puma '' robinson      thomas fireheart
10272: plain view                    upon probable cause
10273: search incident to arrest     upon probable cause
10274: consent                       upon probable cause
10275: imminent destruction of evidenceupon probable cause
10276: emergency searches            upon probable cause
10277: hot pursuit                   upon probable cause
10278: public safety                 upon probable cause
10279: 1,506,000 us gal              5.7 million litres
10280: 16 december 1995              1 january 1999
10281: m\xc4\x81juli or majoli       majuli
10282: william thomas sadler         bill thomas sadler
10283: spain                         italy
10284: august 8, 2018                august 15, 2018
10285: jones                         omari hardwick
10287: 4 may 2018                    2018
10288: none                          18
10289: 8 : 46 : 40                   september 11, 2001
10290: the partridge family pop grouppartridge family pop group
10292: 365.256 days                  24 hours
10293: james madison                 thomas jefferson
10295: gabrielle union               dana davis
10296: 2013                          2012 -- 13
10297: ben - semination              `` sleepover ''
10298: july 3, 2018                  may 17, 2018
10299: 1857 - 01 - 09                january 9
10300: milk or cream, sugar          milk
10301: receptionist pam beesly       holly flax
10302: los angeles dodgers           milwaukee brewers
10303: chicago cubs                  milwaukee brewers
10305: shirly lyn                    carl smith
10307: adult, male citizen           male citizens
10310: june 16, 2018                 june 10, 2018
10314: cycloalkanes                  aromatic compounds
10315: alkanes                       aromatic compounds
10316: alkyne - based compounds      aromatic compounds
10317: within the shawnee national foresthardin
10318: shawnee                       hardin
10319: 2002                          may 16, 2002
10322: professional plus             15.0
10323: professional                  15.0
10325: 1,000                         1000
10328: mohan singh                   mohan singh deb
10329: subhas chandra bose           mohan singh deb
10330: 8 -- 15 seconds               6.9
10333: helium                        einsteinium
10334: between 1652 and 1674         1934
10336: $94.14 million                $99 million
10337: papa's goods                  the revelator
10339: bangladesh                    east pakistan
10340: the pentagon papers           the washington post
10342: 8                             110
10343: pacquiao                      manny pacquiao
10344: 1959                          december 19, 1958
10345: 370                           470 hp
10346: june 2017                     october 20, 2018
10347: olivia cooke                  lena waithe
10349: burj khalifa                  the burj khalifa
10350: shanghai tower                the burj khalifa
10351: july 2, 2013                  2017
10352: weekly                        january 2017
10353: philippines                   afghanistan
10354: singapore                     afghanistan
10355: dr apj abdul kalam            mughal emperor aurangzeb
10356: wendy crewson                 aisha n. tyler
10358: 6th century                   from 1250 to 1500 ad
10359: 10th century ce               from 1250 to 1500 ad
10360: the legislature               members of parliament
10361: sub-saharan nation in west africawest african coast
10362: may 11, 2011                  august 1, 2001
10363: april 11, 1899                1898
10365: stefon washington             danai gurira
10366: the ccp                       republic of china
10367: english                       mandarin
10368: french victory                france
10369: john joseph haley jr          jack haley
10370: isolationist                  strict social order
10372: james madison                 benjamin franklin
10373: george washington             benjamin franklin
10374: john jay                      benjamin franklin
10375: alexander hamilton            benjamin franklin
10377: john adams                    benjamin franklin
10378: thomas jefferson              benjamin franklin
10379: miko john hughes              gage
10380: pakistan                      kashmir
10381: alex rodriguez                barry bonds
10382: 19 bce                        around 19 bce
10383: dioptre                       inverse metre
10384: `` going out ''               liberation
10385: us $26.4 billion              $31 billion
10386: 2014                          2009
10387: jennifer strange              yoni gottesman
10388: andy warhol                   yoni gottesman
10389: anna wood                     yoni gottesman
10390: leah betts                    yoni gottesman
10391: the u.s.                      imperial japanese navy
10392: 1865                          1877
10394: 30                            100
10399: 1986                          april 23, 1986
10402: mark the evangelist           the apostle paul
10403: john the apostle              the apostle paul
10404: apostle matthew               the apostle paul
10405: luke the evangelist           the apostle paul
10407: sanket gaonkar                jiya thakur
10408: waitangi                      north island of new zealand
10409: completed by 1436             1469
10410: begun in 1296                 1469
10411: `` incognito mode ''          privacy mode
10415: beginning in 1767             1767
10417: jennifer warnes               bill medley
10419: 1913                          1931
10421: jesse taylor                  jordan fisher
10422: lebron james                  stephen curry
10423: enrolled voters               house of representatives
10424: topol                         norma crane
10426: leonard frey                  norma crane
10427: molly picon                   norma crane
10428: paul mann                     norma crane
10429: `` danny '' cedrone           franny beecher
10430: fifteen                       35
10431: an iron -- nickel alloy       nickel - iron alloy
10434: f - block                     lawrencium
10435: the evening of december 24    7 january
10437: mexico                        canada
10438: united states                 canada
10439: brooklyn                      queens
10441: manhattan                     queens
10442: staten island                 queens
10443: the bronx                     queens
10444: alexander hamilton            james madison
10445: 1974                          1 january 1974
10447: kimberly rhodes               kim rhodes
10449: prime minister                president
10453: circular                      octagon
10454: september 22, 2017            december 22, 2017
10455: central banking system        independent central bank
10457: uk                            billown circuit
10459: gregorian mission             eadbald
10460: five years (                  five years
10461: swiss banking industry        tourism
10462: jean - jacques rousseau       a great princess
10464: july 15, 2016                 2016
10465: october 27, 2017              2016
10466: emily kinney                  demi moore
10468: 1828                          1792
10469: august 9                      1 july
10470: france                        british america
10471: great britain                 british america
10472: wabanaki confederacy          british america
10473: iroquois confederacy          british america
10475: michael david rapaport        markus flanagan
10476: 2009                          the conclusion of the fifth season
10478: qhorin                        ygritte
10479: broadcasting and telecommunicationsregulation
10482: master patient index          magnetic particle imaging
10483: `` goal ! ''                  goal
10484: deena                         julia
10485: brazil                        italy
10487: mark linn - baker             wendy moniz
10489: elvis presley                 the beatles
10492: euryhaline                    carnivores
10494: damon                         damon salvatore
10497: 0                             three
10498: the marines                   u.s.
10503: president grover cleveland    bartholdi
10504: claude joseph rouget de lisle jean manse
10505: john requa                    dan fogelman
10506: ken olin                      dan fogelman
10507: jess rosenthal                dan fogelman
10508: donald todd                   dan fogelman
10509: elizabeth berger              dan fogelman
10510: charlie gogolak               dan fogelman
10511: isaac aptaker                 dan fogelman
10512: glenn ficarra                 dan fogelman
10514: eric d. steinberg             eric steinberg
10515: rhinoliths                    rhinolith
10517: streaming media               online market
10519: ivo karlovi\xc4\x87           ivo karlovic
10520: radar                         weather station
10522: obesity                       serious malnutrition
10524: james taylor                  ed sheeran
10527: rev. philip rahming           timothy gibson
10528: daryl sabara                  jimmy bennett
10529: narrator                      marcel proust
10531: cress williams                michael michael monteith
10533: london, england               dartford, kent
10534: tba                           k - kov
10535: francesco yates               k - kov
10536: the shadowboxers              k - kov
10538: the ottoman empire            germany
10539: austria - hungary             germany
10540: bulgaria                      germany
10541: over 6,000 years              exceedingly slow rate
10542: consumer value store          convenience
10543: forty years old               eighty
10544: bangalore                     dubai international airport
10547: 1936                          washington, d.c.
10548: eagle jump                    musashino animation
10549: full hydrogenation            chemical analysis
10552: majority leaders              minority leader
10553: the mouthpieces               against the mouthpiece
10554: autostereogram                wall eyed
10555: presidency university, kolkatathe unknowns
10556: early on december 15          february 23
10558: the 1928 summer olympics      1936
10559: september 7, 2017             september 7
10560: jodi marie marzorati benson   sierra boggess
10562: richard hartley               richard o'brien
10564: brooklyn                      borough of brooklyn
10565: 1241 vod                      paramount network
10566: 241 sd / hd                   paramount network
10567: alabama                       alabama crimson tide
10568: georgia                       alabama crimson tide
10569: 2006                          1985
10570: its shoulder patch            flag of uganda
10571: robert goulet                 cilla black
10572: united kingdom                irish
10573: miguel's brother hector       the husband
10575: avon                          south yorkshire
10576: 12 january 2008               2002
10577: 1960                          september 23, 2016
10578: 60 %                          about 60 %
10579: to the left                   left
10582: bharat ram                    mahesh babu
10583: los angeles                   hollywood blvd
10585: 1953 sunbeam alpine mk i      1971 rover p6 3500
10586: the seneca falls convention   seneca falls, new york
10588: composer rossini              galileo
10589: michelangelo                  galileo
10590: philosopher gentile           galileo
10591: poet foscolo                  galileo
10592: machiavelli                   galileo
10594: herodotus                     scribe
10595: 134.1 \xc2\xb0 f              july 21, 2016
10596: 38                            34
10597: donald trump                  hillary clinton
10599: paul rice                     charles mitchell
10600: mitchell                      charles mitchell
10601: november 15, 2011             december 2012
10602: canals - barrera              maria canals barrera
10603: battle of cajamarca           smallpox
10604: blood                         the cross
10605: rebuilding and enhancing      increased opposition to edward ii
10606: scout larue willis            demi moore
10607: jodhi may                     demi moore
